Timestamp2,Open,High,Low,Close,Volume
2025-08-26 09:00:00+05:30,5651,5653,5643,5650,58
2025-08-26 09:30:00+05:30,5650,5654,5647,5649,37
2025-08-26 10:00:00+05:30,5649,5649,5642,5642,15
2025-08-26 10:30:00+05:30,5642,5646,5642,5644,10
2025-08-26 11:00:00+05:30,5644,5644,5639,5641,17
2025-08-26 11:30:00+05:30,5641,5648,5634,5635,21
2025-08-26 12:00:00+05:30,5635,5639,5631,5636,22
2025-08-26 12:30:00+05:30,5636,5639,5627,5633,65
2025-08-26 13:00:00+05:30,5633,5633,5616,5618,42
2025-08-26 13:30:00+05:30,5618,5630,5604,5622,46
2025-08-26 14:00:00+05:30,5622,5622,5603,5603,40
2025-08-26 14:30:00+05:30,5603,5605,5597,5599,77
2025-08-26 15:00:00+05:30,5599,5599,5574,5575,59
2025-08-26 15:30:00+05:30,5575,5581,5575,5578,37
2025-08-26 16:00:00+05:30,5578,5578,5566,5566,36
2025-08-26 16:30:00+05:30,5566,5580,5565,5576,32
2025-08-26 17:00:00+05:30,5576,5578,5566,5568,85
2025-08-26 17:30:00+05:30,5568,5573,5562,5569,41
2025-08-26 18:00:00+05:30,5569,5576,5568,5574,35
2025-08-26 18:30:00+05:30,5575,5584,5575,5580,47
2025-08-26 19:00:00+05:30,5580,5589,5580,5584,13
2025-08-26 19:30:00+05:30,5584,5608,5584,5608,52
2025-08-26 20:00:00+05:30,5608,5615,5585,5585,27
2025-08-26 20:30:00+05:30,5585,5585,5535,5548,159
2025-08-26 21:00:00+05:30,5548,5556,5542,5548,54
2025-08-26 21:30:00+05:30,5548,5552,5537,5539,54
2025-08-26 22:00:00+05:30,5539,5546,5539,5543,18
2025-08-26 22:30:00+05:30,5543,5547,5537,5538,35
2025-08-26 23:00:00+05:30,5538,5546,5538,5544,118
2025-08-27 17:00:00+05:30,5547,5562,5537,5559,98
2025-08-27 17:30:00+05:30,5556,5560,5547,5554,25
2025-08-27 18:00:00+05:30,5560,5574,5559,5572,63
2025-08-27 18:30:00+05:30,5577,5588,5550,5550,116
2025-08-27 19:00:00+05:30,5550,5579,5550,5575,32
2025-08-27 19:30:00+05:30,5575,5577,5570,5574,25
2025-08-27 20:00:00+05:30,5578,5603,5578,5583,56
2025-08-27 20:30:00+05:30,5583,5591,5559,5570,67
2025-08-27 21:00:00+05:30,5570,5587,5566,5584,89
2025-08-27 21:30:00+05:30,5584,5593,5584,5590,10
2025-08-27 22:00:00+05:30,5590,5592,5575,5584,36
2025-08-27 22:30:00+05:30,5584,5592,5582,5592,14
2025-08-27 23:00:00+05:30,5592,5593,5585,5585,22
2025-08-28 09:00:00+05:30,5556,5559,5555,5557,40
2025-08-28 09:30:00+05:30,5555,5558,5553,5553,12
2025-08-28 10:00:00+05:30,5560,5565,5557,5564,21
2025-08-28 10:30:00+05:30,5552,5558,5552,5558,9
2025-08-28 11:00:00+05:30,5555,5556,5552,5556,8
2025-08-28 11:30:00+05:30,5556,5559,5551,5552,34
2025-08-28 12:00:00+05:30,5560,5567,5560,5564,8
2025-08-28 12:30:00+05:30,5560,5573,5552,5570,16
2025-08-28 13:00:00+05:30,5572,5585,5572,5572,25
2025-08-28 13:30:00+05:30,5571,5577,5565,5565,9
2025-08-28 14:00:00+05:30,5562,5562,5551,5559,7
2025-08-28 14:30:00+05:30,5562,5578,5562,5573,13
2025-08-28 15:00:00+05:30,5565,5571,5565,5568,12
2025-08-28 15:30:00+05:30,5571,5586,5571,5582,14
2025-08-28 16:00:00+05:30,5575,5577,5573,5575,15
2025-08-28 16:30:00+05:30,5586,5591,5586,5591,14
2025-08-28 17:00:00+05:30,5591,5596,5588,5588,18
2025-08-28 17:30:00+05:30,5584,5589,5584,5589,3
2025-08-28 18:00:00+05:30,5588,5596,5581,5595,16
2025-08-28 18:30:00+05:30,5589,5596,5586,5596,18
2025-08-28 19:00:00+05:30,5584,5586,5575,5575,10
