,Open,High,Low,Close,Volume,Timestamp2,BullishEngulfing
0,24812.6,24863.95,24780.0,24819.1,0,2025-05-30 09:15:00+05:30,False
1,24819.0,24833.55,24784.0,24794.75,0,2025-05-30 09:45:00+05:30,False
2,24795.8,24795.8,24721.8,24737.6,0,2025-05-30 10:15:00+05:30,False
3,24738.35,24772.3,24717.4,24754.3,0,2025-05-30 10:45:00+05:30,False
4,24755.7,24787.95,24745.0,24745.4,0,2025-05-30 11:15:00+05:30,False
5,24746.4,24768.4,24728.7,24741.8,0,2025-05-30 11:45:00+05:30,False
6,24743.1,24756.8,24729.35,24737.15,0,2025-05-30 12:15:00+05:30,False
7,24737.05,24768.9,24737.05,24758.6,0,2025-05-30 12:45:00+05:30,True
8,24758.55,24783.2,24750.75,24771.65,0,2025-05-30 13:15:00+05:30,False
9,24771.55,24801.7,24753.6,24753.6,0,2025-05-30 13:45:00+05:30,False
10,24753.75,24786.8,24751.1,24769.45,0,2025-05-30 14:15:00+05:30,False
11,24770.1,24784.1,24729.8,24751.65,0,2025-05-30 14:45:00+05:30,False
12,24751.75,24757.15,24731.1,24736.65,0,2025-05-30 15:15:00+05:30,False
13,24669.7,24717.55,24526.15,24571.6,0,2025-06-02 09:15:00+05:30,False
14,24571.15,24606.8,24556.95,24581.75,0,2025-06-02 09:45:00+05:30,False
15,24581.95,24633.35,24554.2,24629.4,0,2025-06-02 10:15:00+05:30,False
16,24630.2,24638.85,24609.6,24623.25,0,2025-06-02 10:45:00+05:30,False
17,24624.55,24657.85,24611.6,24625.5,0,2025-06-02 11:15:00+05:30,False
18,24626.95,24673.25,24621.25,24665.55,0,2025-06-02 11:45:00+05:30,False
19,24665.75,24739.75,24665.75,24723.85,0,2025-06-02 12:15:00+05:30,False
20,24723.7,24737.05,24683.1,24702.9,0,2025-06-02 12:45:00+05:30,False
21,24703.4,24732.9,24698.5,24728.25,0,2025-06-02 13:15:00+05:30,False
22,24729.4,24732.5,24682.15,24693.85,0,2025-06-02 13:45:00+05:30,False
23,24694.3,24705.6,24654.8,24667.65,0,2025-06-02 14:15:00+05:30,False
24,24668.85,24754.4,24656.75,24724.0,0,2025-06-02 14:45:00+05:30,False
25,24723.5,24724.75,24666.6,24690.35,0,2025-06-02 15:15:00+05:30,False
26,24786.3,24845.1,24601.3,24646.8,0,2025-06-03 09:15:00+05:30,False
27,24646.45,24685.5,24619.15,24661.7,0,2025-06-03 09:45:00+05:30,False
28,24662.4,24766.45,24612.1,24642.85,0,2025-06-03 10:15:00+05:30,False
29,24642.5,24664.75,24587.7,24590.2,0,2025-06-03 10:45:00+05:30,False
30,24590.25,24662.6,24571.6,24594.25,0,2025-06-03 11:15:00+05:30,False
31,24596.1,24641.8,24588.9,24615.35,0,2025-06-03 11:45:00+05:30,False
32,24614.85,24648.95,24583.75,24628.15,0,2025-06-03 12:15:00+05:30,False
33,24627.8,24628.7,24502.15,24541.45,0,2025-06-03 12:45:00+05:30,False
34,24540.5,24572.7,24516.5,24539.9,0,2025-06-03 13:15:00+05:30,False
35,24542.0,24579.55,24531.7,24577.15,0,2025-06-03 13:45:00+05:30,False
36,24576.4,24601.7,24559.95,24586.05,0,2025-06-03 14:15:00+05:30,False
37,24586.4,24588.65,24534.4,24535.2,0,2025-06-03 14:45:00+05:30,False
38,24535.5,24550.65,24524.45,24538.4,0,2025-06-03 15:15:00+05:30,False
39,24560.45,24612.75,24536.5,24553.85,0,2025-06-04 09:15:00+05:30,False
40,24552.85,24591.1,24530.45,24578.75,0,2025-06-04 09:45:00+05:30,True
41,24578.95,24609.6,24569.6,24600.8,0,2025-06-04 10:15:00+05:30,False
42,24601.25,24603.8,24577.05,24581.55,0,2025-06-04 10:45:00+05:30,False
43,24582.05,24601.55,24572.0,24592.7,0,2025-06-04 11:15:00+05:30,False
44,24592.65,24607.95,24583.2,24607.75,0,2025-06-04 11:45:00+05:30,False
45,24607.5,24609.15,24582.2,24600.6,0,2025-06-04 12:15:00+05:30,False
46,24600.3,24620.1,24593.05,24600.25,0,2025-06-04 12:45:00+05:30,False
47,24600.4,24611.95,24588.8,24605.7,0,2025-06-04 13:15:00+05:30,False
48,24605.75,24632.0,24603.25,24616.55,0,2025-06-04 13:45:00+05:30,False
49,24616.9,24625.8,24608.65,24615.15,0,2025-06-04 14:15:00+05:30,False
50,24615.8,24644.25,24610.55,24616.9,0,2025-06-04 14:45:00+05:30,False
51,24617.65,24622.05,24604.1,24612.0,0,2025-06-04 15:15:00+05:30,False
52,24560.45,24612.75,24536.5,24553.85,0,2025-06-04 09:15:00+05:30,False
53,24552.85,24591.1,24530.45,24578.75,0,2025-06-04 09:45:00+05:30,True
54,24578.95,24609.6,24569.6,24600.8,0,2025-06-04 10:15:00+05:30,False
55,24601.25,24603.8,24577.05,24581.55,0,2025-06-04 10:45:00+05:30,False
56,24582.05,24601.55,24572.0,24592.7,0,2025-06-04 11:15:00+05:30,False
57,24592.65,24607.95,24583.2,24607.75,0,2025-06-04 11:45:00+05:30,False
58,24607.5,24609.15,24582.2,24600.6,0,2025-06-04 12:15:00+05:30,False
59,24600.3,24620.1,24593.05,24600.25,0,2025-06-04 12:45:00+05:30,False
60,24600.4,24611.95,24588.8,24605.7,0,2025-06-04 13:15:00+05:30,False
61,24605.75,24632.0,24603.25,24616.55,0,2025-06-04 13:45:00+05:30,False
62,24616.9,24625.8,24608.65,24615.15,0,2025-06-04 14:15:00+05:30,False
63,24615.8,24644.25,24610.55,24616.9,0,2025-06-04 14:45:00+05:30,False
64,24617.65,24622.05,24604.1,24612.0,0,2025-06-04 15:15:00+05:30,False
