,Entry_Date,Entry,Stoploss,Target,Status
0,18,282.35,258.08,330.89,OPEN
1,294,468.7,444.16,517.77,OPEN
2,347,474.6,455.7,512.4,OPEN
3,354,471.3,452.9,508.11,OPEN
4,372,473.45,456.49,507.37,OPEN
5,516,553.5,523.2,614.09,OPEN
6,522,549.75,523.4,602.46,OPEN
7,539,561.2,529.96,623.67,OPEN
8,565,544.0,518.24,595.52,OPEN
9,568,544.8,527.47,579.46,OPEN
10,649,565.35,542.72,610.61,OPEN
11,661,569.55,553.01,602.63,OPEN
12,702,572.1,558.18,599.94,OPEN
13,722,571.75,559.28,596.7,OPEN
14,990,794.95,769.28,846.3,OPEN
15,992,801.2,770.1,863.41,OPEN
16,1048,780.8,741.38,859.64,OPEN
17,1051,772.3,747.11,822.67,OPEN
18,1062,771.75,741.65,831.96,OPEN
19,1075,776.1,742.45,843.39,OPEN
20,1077,779.25,733.36,871.03,OPEN
